University,Course,Level,Official URL,URL is course-specific?,Fee status,Figure found (CAD),Note,Gaurav: annual intl fee (CAD),Gaurav: source URL,Gaurav: notes
"Queen's","Bachelor of Arts (General)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Arts (Honours)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Honours)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Computing (Honours)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Commerce (Honours)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Chemical)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Civil)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Electrical)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Mechanical)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Mining)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Geological)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Engineering (Computer)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science in Nursing","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Education (Primary/Junior)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Education (Intermediate/Senior)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Music","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Physical and Health Education","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Health Sciences","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Biology)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Biochemistry)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Chemistry)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Physics)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Computer Science)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Mathematics)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Statistics)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Life Sciences)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Science (Kinesiology)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Arts (Economics)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Arts (History)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Arts (English)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
"Queen's","Bachelor of Arts (Psychology)","Bachelor","https://www.queensu.ca/academics/programs","no — generic programmes listing (row marked withdrawn)","Placeholder (no source)","","Round placeholder, no source recorded","","",""
