slug,country,courses,ug,pg,flags,impressions_90d,clicks_90d,last_data_date
mit-massachusetts,USA,0,0,0,"NO COURSE DATA",0,0,
stanford-university,USA,0,0,0,"NO COURSE DATA",0,0,
harvard-university,USA,0,0,0,"NO COURSE DATA",8,0,
uc-berkeley,USA,0,0,0,"NO COURSE DATA",0,0,
carnegie-mellon-university,USA,0,0,0,"NO COURSE DATA",2,0,
georgia-tech,USA,0,0,0,"NO COURSE DATA",2,0,
purdue-university,USA,74,0,74,"PG ONLY",0,0,2026-08-25
northeastern-university,USA,140,56,84,"",2,0,2026-08-25
arizona-state-university,USA,0,0,0,"NO COURSE DATA",1,0,
uiuc-illinois,USA,133,0,133,"PG ONLY",1,0,2026-08-25
university-of-oxford,UK,0,0,0,"NO COURSE DATA",1,0,
imperial-college-london,UK,8,0,8,"PG ONLY; THIN (8)",0,0,2026-07-30
university-college-london,UK,400,0,400,"PG ONLY",9,0,2026-08-25
university-of-manchester,UK,304,41,263,"",2,0,2026-08-25
university-of-edinburgh,UK,629,349,280,"",2,0,2026-08-25
university-of-birmingham,UK,603,219,384,"",3,0,2026-07-07
university-of-leeds,UK,589,269,320,"",2,0,2026-07-07
coventry-university,UK,125,0,125,"PG ONLY",1,0,2026-08-25
middlesex-university,UK,157,47,110,"",1,0,2026-08-25
brunel-university-london,UK,2,0,2,"PG ONLY; THIN (2)",2,0,2026-07-30
university-of-hertfordshire,UK,45,0,45,"PG ONLY",3,0,2026-07-03
anglia-ruskin-university,UK,166,0,166,"PG ONLY",1,0,2026-08-25
university-of-portsmouth,UK,178,0,178,"PG ONLY",0,0,2026-08-25
northumbria-university,UK,382,219,163,"",127,0,2026-08-25
de-montfort-university,UK,50,0,50,"PG ONLY",2,1,2026-08-25
nottingham-trent-university,UK,42,0,42,"PG ONLY",5,0,2026-07-02
university-of-west-london,UK,45,0,45,"PG ONLY",0,0,2026-07-03
university-of-toronto,Canada,248,0,248,"PG ONLY",34,0,2026-08-25
university-of-british-columbia,Canada,212,107,105,"",9,0,2026-06-30
university-of-waterloo,Canada,92,0,92,"PG ONLY",2,0,2026-08-25
mcgill-university,Canada,212,0,212,"PG ONLY",5,0,2026-06-29
university-of-windsor,Canada,0,0,0,"NO COURSE DATA",12,0,
trent-university,Canada,0,0,0,"NO COURSE DATA",0,0,
conestoga-college,Canada,0,0,0,"NO COURSE DATA",3,0,
humber-college,Canada,0,0,0,"NO COURSE DATA",3,0,
sheridan-college,Canada,0,0,0,"NO COURSE DATA",0,0,
george-brown-college,Canada,0,0,0,"NO COURSE DATA",1,0,
algonquin-college,Canada,176,155,21,"",1,0,2026-09-14
mohawk-college,Canada,0,0,0,"NO COURSE DATA",1,0,
thompson-rivers-university,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-northern-bc,Canada,0,0,0,"NO COURSE DATA",0,0,
capilano-university,Canada,0,0,0,"NO COURSE DATA",4,0,
sait,Canada,0,0,0,"NO COURSE DATA",4,0,
concordia-university-edmonton,Canada,0,0,0,"NO COURSE DATA",0,0,
acadia-university,Canada,0,0,0,"NO COURSE DATA",0,0,
cape-breton-university,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-regina,Canada,0,0,0,"NO COURSE DATA",0,0,
saskatchewan-polytechnic,Canada,0,0,0,"NO COURSE DATA",0,0,
seneca-polytechnic,Canada,0,0,0,"NO COURSE DATA",4,0,
fanshawe-college,Canada,0,0,0,"NO COURSE DATA",1,0,
durham-college,Canada,151,138,13,"",0,0,2026-09-14
georgian-college,Canada,0,0,0,"NO COURSE DATA",0,0,
fleming-college,Canada,0,0,0,"NO COURSE DATA",1,0,
lambton-college,Canada,0,0,0,"NO COURSE DATA",0,0,
centennial-college,Canada,0,0,0,"NO COURSE DATA",0,0,
cambrian-college,Canada,0,0,0,"NO COURSE DATA",0,0,
st-clair-college,Canada,0,0,0,"NO COURSE DATA",0,0,
canadore-college,Canada,0,0,0,"NO COURSE DATA",0,0,
niagara-college,Canada,0,0,0,"NO COURSE DATA",0,0,
sault-college,Canada,0,0,0,"NO COURSE DATA",1,0,
loyalist-college,Canada,0,0,0,"NO COURSE DATA",0,0,
lakehead-university,Canada,0,0,0,"NO COURSE DATA",0,0,
toronto-metropolitan-university,Canada,121,80,41,"",2,0,2026-09-14
university-of-ottawa,Canada,492,181,311,"",12,0,2026-07-07
york-university,Canada,106,106,0,"UG ONLY",1,0,2026-09-14
ontario-tech-university,Canada,0,0,0,"NO COURSE DATA",6,0,
brock-university,Canada,0,0,0,"NO COURSE DATA",3,0,
wilfrid-laurier-university,Canada,0,0,0,"NO COURSE DATA",6,1,
kwantlen-polytechnic-university,Canada,247,244,3,"NO COURSE ROUTE",0,0,2026-09-14
vancouver-community-college,Canada,0,0,0,"NO COURSE DATA",0,0,
langara-college,Canada,0,0,0,"NO COURSE DATA",1,0,
douglas-college,Canada,0,0,0,"NO COURSE DATA",0,0,
okanagan-college,Canada,0,0,0,"NO COURSE DATA",0,0,
royal-roads-university,Canada,0,0,0,"NO COURSE DATA",3,0,
university-canada-west,Canada,0,0,0,"NO COURSE DATA",0,0,
macewan-university,Canada,0,0,0,"NO COURSE DATA",1,0,
university-of-lethbridge,Canada,0,0,0,"NO COURSE DATA",0,0,
bow-valley-college,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-winnipeg,Canada,0,0,0,"NO COURSE DATA",3,0,
red-river-college-polytechnic,Canada,0,0,0,"NO COURSE DATA",4,0,
dalhousie-university,Canada,311,112,199,"",1,0,2026-09-21
memorial-university,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-new-brunswick,Canada,95,95,0,"UG ONLY",0,0,2026-09-14
upei,Canada,0,0,0,"NO COURSE DATA",0,0,
niagara-university-ontario,Canada,0,0,0,"NO COURSE DATA",0,0,
northern-college,Canada,0,0,0,"NO COURSE DATA",0,0,
confederation-college,Canada,0,0,0,"NO COURSE DATA",0,0,
la-cite-college,Canada,0,0,0,"NO COURSE DATA",0,0,
st-lawrence-college,Canada,0,0,0,"NO COURSE DATA",0,0,
college-boreal,Canada,0,0,0,"NO COURSE DATA",0,0,
north-island-college,Canada,0,0,0,"NO COURSE DATA",0,0,
college-of-the-rockies,Canada,0,0,0,"NO COURSE DATA",0,0,
selkirk-college,Canada,0,0,0,"NO COURSE DATA",0,0,
columbia-college-bc,Canada,0,0,0,"NO COURSE DATA",0,0,
justice-institute-bc,Canada,0,0,0,"NO COURSE DATA",0,0,
fdu-vancouver,Canada,0,0,0,"NO COURSE DATA",1,0,
nyit-vancouver,Canada,0,0,0,"NO COURSE DATA",1,0,
norquest-college,Canada,0,0,0,"NO COURSE DATA",0,0,
red-deer-polytechnic,Canada,0,0,0,"NO COURSE DATA",0,0,
grande-prairie-regional-college,Canada,0,0,0,"NO COURSE DATA",0,0,
lakeland-college,Canada,0,0,0,"NO COURSE DATA",0,0,
medicine-hat-college,Canada,0,0,0,"NO COURSE DATA",0,0,
olds-college,Canada,0,0,0,"NO COURSE DATA",0,0,
portage-college,Canada,0,0,0,"NO COURSE DATA",0,0,
assiniboine-community-college,Canada,0,0,0,"NO COURSE DATA",0,0,
brandon-university,Canada,0,0,0,"NO COURSE DATA",0,0,
nova-scotia-community-college,Canada,0,0,0,"NO COURSE DATA",0,0,
first-nations-university,Canada,0,0,0,"NO COURSE DATA",0,0,
universite-de-moncton,Canada,0,0,0,"NO COURSE DATA",0,0,
mount-allison-university,Canada,0,0,0,"NO COURSE DATA",0,0,
st-thomas-university,Canada,0,0,0,"NO COURSE DATA",0,0,
